PIN,Invesco India ETF,
Date,Price,Annualized Dividend
09/29/2009,19.35,0.055999999999999994
09/30/2009,19.5,0.055999999999999994
09/30/2009,19.52,0.055999999999999994
10/01/2009,19.68,0.055999999999999994
10/01/2009,19.14,0.055999999999999994
10/02/2009,19.0,0.055999999999999994
10/02/2009,19.01,0.055999999999999994
10/05/2009,19.35,0.055999999999999994
10/05/2009,19.71,0.055999999999999994
10/06/2009,19.92,0.055999999999999994
10/06/2009,19.86,0.055999999999999994
10/07/2009,19.83,0.055999999999999994
10/07/2009,19.68,0.055999999999999994
10/08/2009,19.88,0.055999999999999994
10/08/2009,19.96,0.055999999999999994
10/09/2009,19.77,0.055999999999999994
10/09/2009,19.83,0.055999999999999994
10/12/2009,20.09,0.055999999999999994
10/12/2009,20.03,0.055999999999999994
10/13/2009,20.09,0.055999999999999994
10/13/2009,20.08,0.055999999999999994
10/14/2009,20.49,0.055999999999999994
10/14/2009,20.68,0.055999999999999994
10/15/2009,20.44,0.055999999999999994
10/15/2009,20.52,0.055999999999999994
10/16/2009,20.38,0.055999999999999994
10/16/2009,20.34,0.055999999999999994
10/19/2009,20.48,0.055999999999999994
10/19/2009,20.61,0.055999999999999994
10/20/2009,20.53,0.055999999999999994
10/20/2009,20.32,0.055999999999999994
10/21/2009,20.12,0.055999999999999994
10/21/2009,19.98,0.055999999999999994
10/22/2009,19.86,0.055999999999999994
10/22/2009,19.95,0.055999999999999994
10/23/2009,19.89,0.055999999999999994
10/23/2009,19.51,0.055999999999999994
10/26/2009,19.54,0.055999999999999994
10/26/2009,19.27,0.055999999999999994
10/27/2009,19.22,0.055999999999999994
10/27/2009,18.67,0.055999999999999994
10/28/2009,18.75,0.055999999999999994
10/28/2009,18.4,0.055999999999999994
10/29/2009,18.5,0.055999999999999994
10/29/2009,18.91,0.055999999999999994
10/30/2009,18.45,0.055999999999999994
10/30/2009,17.82,0.055999999999999994
11/02/2009,17.93,0.055999999999999994
11/02/2009,18.04,0.055999999999999994
11/03/2009,17.71,0.055999999999999994
11/03/2009,17.83,0.055999999999999994
11/04/2009,18.36,0.055999999999999994
11/04/2009,18.28,0.055999999999999994
11/05/2009,18.75,0.055999999999999994
11/05/2009,18.9,0.055999999999999994
11/06/2009,18.66,0.055999999999999994
11/06/2009,18.86,0.055999999999999994
11/09/2009,19.19,0.055999999999999994
11/09/2009,19.48,0.055999999999999994
11/10/2009,19.22,0.055999999999999994
11/10/2009,19.15,0.055999999999999994
11/11/2009,19.63,0.055999999999999994
11/11/2009,19.66,0.055999999999999994
11/12/2009,19.55,0.055999999999999994
11/12/2009,19.29,0.055999999999999994
11/13/2009,19.57,0.055999999999999994
11/13/2009,19.73,0.055999999999999994
11/16/2009,19.96,0.055999999999999994
11/16/2009,20.07,0.055999999999999994
11/17/2009,19.95,0.055999999999999994
11/17/2009,20.01,0.055999999999999994
11/18/2009,20.01,0.055999999999999994
11/18/2009,20.05,0.055999999999999994
11/19/2009,19.6,0.055999999999999994
11/19/2009,19.43,0.055999999999999994
11/20/2009,19.65,0.055999999999999994
11/20/2009,19.62,0.055999999999999994
11/23/2009,19.95,0.055999999999999994
11/23/2009,19.92,0.055999999999999994
11/24/2009,19.93,0.055999999999999994
11/24/2009,19.86,0.055999999999999994
11/25/2009,20.01,0.055999999999999994
11/25/2009,20.0,0.055999999999999994
11/27/2009,19.07,0.055999999999999994
11/27/2009,19.47,0.055999999999999994
11/30/2009,19.71,0.055999999999999994
11/30/2009,19.85,0.055999999999999994
12/01/2009,20.24,0.055999999999999994
12/01/2009,20.34,0.055999999999999994
12/02/2009,20.27,0.055999999999999994
12/02/2009,20.25,0.055999999999999994
12/03/2009,20.37,0.055999999999999994
12/03/2009,20.1,0.055999999999999994
12/04/2009,20.53,0.055999999999999994
