BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Annualized Dividend
04/19/2001,5.09,1.9100000000000001
04/20/2001,5.09,1.9100000000000001
04/20/2001,5.09,1.9100000000000001
04/23/2001,5.09,1.9100000000000001
04/23/2001,5.09,1.9100000000000001
04/24/2001,5.03,1.9100000000000001
04/24/2001,5.03,1.9100000000000001
04/25/2001,4.96,1.9100000000000001
04/25/2001,4.96,1.9100000000000001
04/26/2001,4.96,1.9100000000000001
04/26/2001,4.96,1.9100000000000001
04/27/2001,4.96,1.9100000000000001
04/27/2001,4.96,1.9100000000000001
04/30/2001,4.96,1.9100000000000001
04/30/2001,4.96,1.9100000000000001
05/01/2001,4.81,1.9100000000000001
05/01/2001,4.81,1.9100000000000001
05/02/2001,4.79,1.9100000000000001
05/02/2001,4.79,1.9100000000000001
05/03/2001,4.79,1.9100000000000001
05/03/2001,4.79,1.9100000000000001
05/04/2001,4.79,1.9100000000000001
05/04/2001,4.79,1.9100000000000001
05/07/2001,4.76,1.9100000000000001
05/07/2001,4.76,1.9100000000000001
05/08/2001,4.76,1.9100000000000001
05/08/2001,4.76,1.9100000000000001
05/09/2001,4.81,1.9100000000000001
05/09/2001,4.82,1.9100000000000001
05/10/2001,4.82,1.9100000000000001
05/10/2001,4.82,1.9100000000000001
05/11/2001,5.06,1.9100000000000001
05/11/2001,5.06,1.9100000000000001
05/14/2001,5.06,1.9100000000000001
05/14/2001,5.06,1.9100000000000001
05/15/2001,4.79,1.9100000000000001
05/15/2001,4.79,1.9100000000000001
05/16/2001,4.79,1.9100000000000001
05/16/2001,4.79,1.9100000000000001
05/17/2001,4.81,1.9100000000000001
05/17/2001,4.81,1.9100000000000001
05/18/2001,4.81,1.9100000000000001
05/18/2001,4.81,1.9100000000000001
05/21/2001,4.81,1.9100000000000001
05/21/2001,4.81,1.9100000000000001
05/22/2001,4.81,1.9100000000000001
05/22/2001,4.81,1.9100000000000001
05/23/2001,4.92,1.9100000000000001
05/23/2001,4.92,1.9100000000000001
05/24/2001,4.92,1.9100000000000001
05/24/2001,4.92,1.9100000000000001
05/25/2001,4.92,1.9100000000000001
05/25/2001,4.92,1.9100000000000001
05/29/2001,4.92,1.9100000000000001
05/29/2001,4.92,1.9100000000000001
05/30/2001,4.92,1.9100000000000001
05/30/2001,4.92,1.9100000000000001
05/31/2001,5.22,1.9100000000000001
05/31/2001,5.25,1.9100000000000001
06/01/2001,5.49,1.9100000000000001
06/01/2001,5.49,1.9100000000000001
06/04/2001,5.49,1.9100000000000001
06/04/2001,5.64,1.9100000000000001
06/05/2001,5.64,1.9100000000000001
06/05/2001,5.64,1.9100000000000001
06/06/2001,5.64,1.9100000000000001
06/06/2001,5.64,1.9100000000000001
06/07/2001,5.64,1.9100000000000001
06/07/2001,5.64,1.9100000000000001
06/08/2001,5.64,1.9100000000000001
06/08/2001,5.64,1.9100000000000001
06/11/2001,5.64,1.9100000000000001
06/11/2001,5.64,1.9100000000000001
06/12/2001,5.64,1.9100000000000001
06/12/2001,5.64,1.9100000000000001
06/13/2001,5.62,1.9100000000000001
