SIG,Signet Jewelers Limited,
Date,Price,Annualized Dividend
03/06/1990,0.0,0.0426
03/06/1990,49.08,0.0426
03/07/1990,49.08,0.0426
03/07/1990,49.08,0.0426
03/08/1990,0.0,0.0426
03/08/1990,49.08,0.0426
03/09/1990,49.08,0.0426
03/09/1990,49.08,0.0426
03/12/1990,49.08,0.0426
03/12/1990,49.08,0.0426
03/13/1990,0.0,0.0426
03/13/1990,46.97,0.0426
03/14/1990,46.97,0.0426
03/14/1990,46.97,0.0426
03/15/1990,0.0,0.0426
03/15/1990,46.97,0.0426
03/16/1990,0.0,0.0426
03/16/1990,49.08,0.0426
03/19/1990,49.08,0.0426
03/19/1990,49.08,0.0426
03/20/1990,49.08,0.0426
03/20/1990,49.08,0.0426
03/21/1990,0.0,0.0426
03/21/1990,46.97,0.0426
03/22/1990,0.0,0.0426
03/22/1990,46.97,0.0426
03/23/1990,46.97,0.0426
03/23/1990,46.97,0.0426
03/26/1990,46.97,0.0426
03/26/1990,46.97,0.0426
03/27/1990,0.0,0.0426
03/27/1990,48.55,0.0426
03/28/1990,0.0,0.0426
03/28/1990,48.55,0.0426
03/29/1990,0.0,0.0426
03/29/1990,48.55,0.0426
03/30/1990,0.0,0.0426
03/30/1990,48.03,0.0426
04/02/1990,48.03,0.0426
04/02/1990,48.03,0.0426
04/03/1990,0.0,0.0426
