BCH-USD,BitcoinCash USD,
Date,Price,Dividend,Annualized Dividend
05/12/2019,356.2685241699219,0.0,0.0
05/13/2019,354.0299377441406,0.0,0.0
05/14/2019,385.36651611328125,0.0,0.0
05/15/2019,389.1172180175781,0.0,0.0
05/16/2019,402.4404602050781,0.0,0.0
05/17/2019,398.68011474609375,0.0,0.0
05/18/2019,364.4520263671875,0.0,0.0
05/19/2019,357.3105163574219,0.0,0.0
05/20/2019,421.3832702636719,0.0,0.0
05/21/2019,412.524169921875,0.0,0.0
05/22/2019,417.3105773925781,0.0,0.0
05/23/2019,391.52349853515625,0.0,0.0
05/24/2019,405.9178771972656,0.0,0.0
05/25/2019,409.21148681640625,0.0,0.0
05/26/2019,406.5513000488281,0.0,0.0
05/27/2019,432.9705505371094,0.0,0.0
05/28/2019,443.0087890625,0.0,0.0
05/29/2019,435.0120849609375,0.0,0.0
05/30/2019,454.4505310058594,0.0,0.0
05/31/2019,424.623291015625,0.0,0.0
06/01/2019,445.0295715332031,0.0,0.0
06/02/2019,434.72021484375,0.0,0.0
06/03/2019,443.72607421875,0.0,0.0
06/04/2019,408.2131042480469,0.0,0.0
06/05/2019,382.6524658203125,0.0,0.0
06/06/2019,398.0715026855469,0.0,0.0
06/07/2019,397.0394287109375,0.0,0.0
06/08/2019,401.5602111816406,0.0,0.0
06/09/2019,394.1517028808594,0.0,0.0
06/10/2019,381.0634460449219,0.0,0.0
06/11/2019,394.7748107910156,0.0,0.0
06/12/2019,388.1059265136719,0.0,0.0
06/13/2019,396.3233337402344,0.0,0.0
06/14/2019,411.8916320800781,0.0,0.0
06/15/2019,421.6842041015625,0.0,0.0
06/16/2019,422.82598876953125,0.0,0.0
06/17/2019,428.2647705078125,0.0,0.0
06/18/2019,432.023681640625,0.0,0.0
06/19/2019,413.9334716796875,0.0,0.0
06/20/2019,416.8121643066406,0.0,0.0
06/21/2019,413.6042785644531,0.0,0.0
06/22/2019,439.69427490234375,0.0,0.0
06/23/2019,479.43927001953125,0.0,0.0
06/24/2019,475.33697509765625,0.0,0.0
06/25/2019,476.7152099609375,0.0,0.0
06/26/2019,479.7911682128906,0.0,0.0
06/27/2019,485.8734130859375,0.0,0.0
06/28/2019,413.6177062988281,0.0,0.0
06/29/2019,437.1239929199219,0.0,0.0
06/30/2019,441.958984375,0.0,0.0
07/01/2019,399.83349609375,0.0,0.0
07/02/2019,416.5179748535156,0.0,0.0
07/03/2019,407.9101867675781,0.0,0.0
07/04/2019,422.81268310546875,0.0,0.0
07/05/2019,401.6357727050781,0.0,0.0
07/06/2019,400.23358154296875,0.0,0.0
07/07/2019,405.58441162109375,0.0,0.0
07/08/2019,412.1225280761719,0.0,0.0
07/09/2019,418.7865295410156,0.0,0.0
07/10/2019,416.0917663574219,0.0,0.0
07/11/2019,390.2940368652344,0.0,0.0
07/12/2019,346.551513671875,0.0,0.0
07/13/2019,354.56787109375,0.0,0.0
07/14/2019,344.9698486328125,0.0,0.0
07/15/2019,283.3017883300781,0.0,0.0
07/16/2019,314.8609313964844,0.0,0.0
07/17/2019,281.2003173828125,0.0,0.0
07/18/2019,291.38128662109375,0.0,0.0
07/19/2019,314.7805480957031,0.0,0.0
07/20/2019,308.3831481933594,0.0,0.0
07/21/2019,324.3898010253906,0.0,0.0
07/22/2019,320.9971618652344,0.0,0.0
07/23/2019,310.7181091308594,0.0,0.0
07/24/2019,298.1366882324219,0.0,0.0
07/25/2019,302.9039001464844,0.0,0.0
07/26/2019,302.7908935546875,0.0,0.0
07/27/2019,316.42779541015625,0.0,0.0
07/28/2019,306.4976501464844,0.0,0.0
07/29/2019,310.20257568359375,0.0,0.0
07/30/2019,307.91485595703125,0.0,0.0
07/31/2019,315.8302917480469,0.0,0.0
08/01/2019,326.5872802734375,0.0,0.0
08/02/2019,328.72357177734375,0.0,0.0
08/03/2019,326.6521911621094,0.0,0.0
08/04/2019,333.06048583984375,0.0,0.0
08/05/2019,333.69158935546875,0.0,0.0
08/06/2019,346.8072204589844,0.0,0.0
08/07/2019,333.79150390625,0.0,0.0
08/08/2019,339.6397705078125,0.0,0.0
08/09/2019,333.68157958984375,0.0,0.0
08/10/2019,316.6864929199219,0.0,0.0
08/11/2019,315.8900451660156,0.0,0.0
08/12/2019,336.1593017578125,0.0,0.0
08/13/2019,330.2460632324219,0.0,0.0
08/14/2019,343.523193359375,0.0,0.0
08/15/2019,312.16937255859375,0.0,0.0
08/16/2019,314.8009338378906,0.0,0.0
08/17/2019,310.5753173828125,0.0,0.0
08/18/2019,307.2922058105469,0.0,0.0
08/19/2019,316.7306213378906,0.0,0.0
08/20/2019,325.4493713378906,0.0,0.0
08/21/2019,316.2823486328125,0.0,0.0
08/22/2019,303.08331298828125,0.0,0.0
08/23/2019,311.3226318359375,0.0,0.0
08/24/2019,316.1391296386719,0.0,0.0
08/25/2019,307.5867919921875,0.0,0.0
08/26/2019,305.3158874511719,0.0,0.0
08/27/2019,311.16070556640625,0.0,0.0
08/28/2019,308.0231628417969,0.0,0.0
08/29/2019,292.247314453125,0.0,0.0
08/30/2019,280.7578430175781,0.0,0.0
08/31/2019,279.65252685546875,0.0,0.0
09/01/2019,279.9925537109375,0.0,0.0
09/02/2019,282.33447265625,0.0,0.0
09/03/2019,294.02191162109375,0.0,0.0
09/04/2019,300.9982604980469,0.0,0.0
09/05/2019,295.3174133300781,0.0,0.0
09/06/2019,292.9197082519531,0.0,0.0
09/07/2019,287.739013671875,0.0,0.0
09/08/2019,301.30731201171875,0.0,0.0
09/09/2019,307.8078308105469,0.0,0.0
09/10/2019,305.1528015136719,0.0,0.0
09/11/2019,304.2366638183594,0.0,0.0
09/12/2019,299.6238098144531,0.0,0.0
09/13/2019,300.4583435058594,0.0,0.0
09/14/2019,298.424560546875,0.0,0.0
09/15/2019,304.60302734375,0.0,0.0
09/16/2019,304.2558898925781,0.0,0.0
09/17/2019,307.52606201171875,0.0,0.0
09/18/2019,319.39166259765625,0.0,0.0
09/19/2019,324.63232421875,0.0,0.0
09/20/2019,323.8241882324219,0.0,0.0
09/21/2019,315.7370300292969,0.0,0.0
09/22/2019,312.2294921875,0.0,0.0
09/23/2019,308.21795654296875,0.0,0.0
09/24/2019,293.12017822265625,0.0,0.0
09/25/2019,222.25372314453125,0.0,0.0
09/26/2019,229.2652130126953,0.0,0.0
09/27/2019,216.02035522460938,0.0,0.0
09/28/2019,222.6157989501953,0.0,0.0
09/29/2019,228.8675537109375,0.0,0.0
09/30/2019,220.45079040527344,0.0,0.0
10/01/2019,228.26199340820312,0.0,0.0
10/02/2019,224.78897094726562,0.0,0.0
10/03/2019,225.7642059326172,0.0,0.0
10/04/2019,222.66444396972656,0.0,0.0
10/05/2019,223.1256866455078,0.0,0.0
10/06/2019,223.21519470214844,0.0,0.0
10/07/2019,223.2591552734375,0.0,0.0
10/08/2019,234.22279357910156,0.0,0.0
10/09/2019,232.55056762695312,0.0,0.0
10/10/2019,239.42245483398438,0.0,0.0
10/11/2019,230.1809539794922,0.0,0.0
10/12/2019,222.72828674316406,0.0,0.0
10/13/2019,225.03948974609375,0.0,0.0
10/14/2019,223.9550018310547,0.0,0.0
10/15/2019,228.53726196289062,0.0,0.0
10/16/2019,222.861328125,0.0,0.0
10/17/2019,218.20716857910156,0.0,0.0
10/18/2019,221.2800750732422,0.0,0.0
