GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
04/19/2018,3.2176411151885986,0.0,0.009
04/26/2018,3.1976556777954097,0.0,0.009
04/27/2018,3.247619152069092,0.0,0.009
04/30/2018,3.2276337146759033,0.0,0.009
05/07/2018,3.257611751556397,0.0,0.009
05/09/2018,3.267604351043701,0.0,0.009
05/10/2018,3.2875897884368896,0.0,0.009
05/11/2018,3.277596950531006,0.0,0.009
05/14/2018,3.2975823879241943,0.0,0.009
05/16/2018,3.317567586898804,0.0,0.009
05/21/2018,3.3275604248046875,0.0,0.009
06/06/2018,3.0777435302734375,0.0,0.009
06/11/2018,3.067750930786133,0.0,0.009
06/27/2018,2.907868146896362,0.0,0.009
07/11/2018,2.937846183776856,0.0,0.009
08/15/2018,2.837919235229492,0.0,0.009
09/06/2018,2.8678972721099854,0.0,0.009
09/07/2018,2.8479120731353755,0.0,0.009
09/13/2018,2.8579046726226807,0.0,0.009
09/17/2018,2.8279266357421875,0.0,0.009
10/04/2018,2.7879559993743896,0.0,0.009
10/05/2018,2.7479853630065922,0.0,0.009
10/08/2018,2.7379927635192867,0.0,0.009
10/09/2018,2.7180073261260986,0.0,0.009
10/10/2018,2.6580512523651123,0.0,0.009
10/11/2018,2.5881025791168213,0.0,0.009
10/12/2018,2.598095178604126,0.0,0.009
10/15/2018,2.6280734539031982,0.0,0.009
10/16/2018,2.668044090270996,0.0,0.009
10/17/2018,2.638066053390503,0.0,0.009
10/18/2018,2.6180803775787354,0.0,0.009
10/19/2018,2.60808777809143,0.0,0.009
10/23/2018,2.5481317043304443,0.0,0.009
10/24/2018,2.498168468475342,0.0,0.009
10/25/2018,2.5381391048431396,0.0,0.009
10/29/2018,2.478183269500733,0.0,0.009
10/30/2018,2.5181539058685303,0.0,0.009
10/31/2018,2.5581245422363286,0.0,0.009
11/05/2018,2.6980221271514893,0.0,0.009
11/06/2018,2.6880292892456055,0.0,0.009
11/09/2018,2.6780366897583003,0.0,0.009
11/13/2018,2.648058652877808,0.0,0.009
11/27/2018,2.7080147266387944,0.0,0.009
11/28/2018,2.7579779624938965,0.0,0.009
12/03/2018,2.777963399887085,0.0,0.009
12/04/2018,2.7279999256134033,0.0,0.009
12/06/2018,2.6700000762939453,0.002,0.002
12/07/2018,2.6500000953674316,0.0,0.002
12/10/2018,2.630000114440918,0.0,0.002
12/11/2018,2.619999885559082,0.0,0.002
12/12/2018,2.6700000762939453,0.0,0.002
12/13/2018,2.680000066757202,0.0,0.002
12/17/2018,2.5899999141693115,0.0,0.002
12/18/2018,2.5999999046325684,0.0,0.002
12/19/2018,2.569999933242798,0.0,0.002
12/20/2018,2.5399999618530273,0.0,0.002
12/21/2018,2.5,0.0,0.002
12/24/2018,2.4700000286102295,0.0,0.002
12/26/2018,2.5299999713897705,0.0,0.002
12/28/2018,2.549999952316284,0.0,0.002
01/02/2019,2.559999942779541,0.0,0.002
01/07/2019,2.640000104904175,0.0,0.002
01/08/2019,2.6600000858306885,0.0,0.002
01/09/2019,2.690000057220459,0.0,0.002
01/10/2019,2.7100000381469727,0.0,0.002
01/11/2019,2.7200000286102295,0.0,0.002
01/14/2019,2.700000047683716,0.0,0.002
