ENB,Enbridge Inc,
Date,Price,Dividend,Annualized Dividend
07/19/1989,0.0,0.0,0.0
07/20/1989,0.6448944807052612,0.0,0.0
07/21/1989,0.0,0.0,0.0
07/26/1989,0.0,0.0,0.0
07/28/1989,0.0,0.0,0.0
07/31/1989,0.6566553711891174,0.0,0.0
08/02/1989,0.0,0.0,0.0
08/03/1989,0.6644958257675171,0.0,0.0
08/08/1989,0.0,0.0,0.0
08/09/1989,0.0,0.0,0.0
08/10/1989,0.6703761219978333,0.0,0.0
08/14/1989,0.0,0.0,0.0
08/15/1989,0.0,0.0,0.0
08/22/1989,0.0,0.0,0.0
08/23/1989,0.0,0.0,0.0
08/31/1989,0.0,0.0,0.0
09/11/1989,0.0,0.0,0.0
09/13/1989,0.0,0.0,0.0
09/14/1989,0.6252925992012024,0.0,0.0
09/18/1989,0.0,0.0,0.0
09/19/1989,0.0,0.0,0.0
09/26/1989,0.0,0.0,0.0
09/28/1989,0.0,0.0,0.0
10/09/1989,0.0,0.0,0.0
10/17/1989,0.0,0.0,0.0
10/18/1989,0.6409739255905151,0.0,0.0
10/26/1989,0.0,0.0,0.0
10/27/1989,0.0,0.0,0.0
11/01/1989,0.0,0.0,0.0
11/02/1989,0.0,0.0,0.0
11/03/1989,0.0,0.0,0.0
11/10/1989,0.0,0.0,0.0
11/17/1989,0.0,0.0,0.0
11/22/1989,0.0,0.0,0.0
11/24/1989,0.0,0.0,0.0
11/27/1989,0.0,0.0,0.0
11/28/1989,0.0,0.0,0.0
12/08/1989,0.0,0.0,0.0
12/12/1989,0.0,0.0,0.0
12/19/1989,0.0,0.0,0.0
12/20/1989,0.593930184841156,0.0,0.0
01/02/1990,0.0,0.0,0.0
01/16/1990,0.0,0.0,0.0
01/17/1990,0.0,0.0,0.0
01/22/1990,0.0,0.0,0.0
01/31/1990,0.0,0.0,0.0
02/06/1990,0.0,0.0,0.0
03/02/1990,0.0,0.0,0.0
03/07/1990,0.0,0.0,0.0
03/13/1990,0.0,0.0,0.0
03/15/1990,0.0,0.0,0.0
03/19/1990,0.0,0.0,0.0
03/20/1990,0.6194122433662416,0.0,0.0
03/23/1990,0.0,0.0,0.0
03/27/1990,0.6272527575492859,0.0,0.0
03/29/1990,0.6272527575492859,0.0,0.0
03/30/1990,0.6331331729888916,0.0,0.0
04/02/1990,0.6429342257693988,0.0,0.0
04/09/1990,0.6429339051246643,0.0,0.0
04/18/1990,0.6350931123838719,0.0,0.0
04/24/1990,0.6037307258847594,0.0,0.0
05/11/1990,0.6311730742454529,0.0,0.0
05/15/1990,0.6252925015183597,0.0,0.0
05/16/1990,0.6233322620391846,0.0,0.0
05/18/1990,0.6233322620391846,0.0,0.0
05/21/1990,0.6233322620391846,0.0,0.0
05/22/1990,0.6233322620391846,0.0,0.0
05/30/1990,0.6233322620391846,0.0,0.0
