NEXTX,Shelton Green Alpha Fd,
Date,Price,Dividend,Annualized Dividend
03/13/2018,17.489158630371094,0.0,0.511
03/14/2018,17.449228286743164,0.0,0.511
03/19/2018,17.30947494506836,0.0,0.511
03/21/2018,17.52908706665039,0.0,0.511
03/23/2018,16.800373077392578,0.0,0.511
03/26/2018,17.199668884277344,0.0,0.511
03/28/2018,16.620689392089844,0.0,0.511
03/29/2018,16.850284576416016,0.0,0.511
04/02/2018,16.480937957763672,0.0,0.511
04/03/2018,16.660619735717773,0.0,0.511
04/04/2018,16.90019798278809,0.0,0.511
04/05/2018,17.01998519897461,0.0,0.511
04/06/2018,16.680583953857422,0.0,0.511
04/09/2018,16.740478515625,0.0,0.511
04/10/2018,16.970073699951172,0.0,0.511
04/12/2018,16.980056762695312,0.0,0.511
04/20/2018,16.870250701904297,0.0,0.511
04/23/2018,16.69056510925293,0.0,0.511
04/24/2018,16.5607967376709,0.0,0.511
04/25/2018,16.51088523864746,0.0,0.511
04/27/2018,16.72051239013672,0.0,0.511
04/30/2018,16.4709529876709,0.0,0.511
05/01/2018,16.530847549438477,0.0,0.511
05/02/2018,16.540830612182617,0.0,0.511
05/03/2018,16.42104148864746,0.0,0.511
05/07/2018,16.81035614013672,0.0,0.511
05/10/2018,17.379350662231445,0.0,0.511
05/16/2018,17.359386444091797,0.0,0.511
05/18/2018,17.149757385253906,0.0,0.511
05/23/2018,17.099843978881836,0.0,0.511
05/24/2018,17.089862823486328,0.0,0.511
05/29/2018,17.0499324798584,0.0,0.511
06/05/2018,16.82033920288086,0.0,0.511
06/07/2018,16.580760955810547,0.0,0.511
06/12/2018,16.830320358276367,0.0,0.511
06/13/2018,16.840303421020508,0.0,0.511
06/19/2018,16.78040885925293,0.0,0.511
06/20/2018,16.880231857299805,0.0,0.511
