SSSS,SuRo Capital Corp.,
Date,Price,Dividend,Annualized Dividend
04/29/2016,3.9894054194449744,0.0,2.76
05/02/2016,4.038919162643949,0.0,2.76
05/03/2016,3.9611115191804473,0.0,2.76
05/04/2016,3.9681853854806306,0.0,2.76
05/05/2016,4.0106262633378025,0.0,2.76
05/06/2016,3.9964792729084158,0.0,2.76
05/09/2016,3.90452511729691,0.0,2.76
05/10/2016,3.8974515640277767,0.0,2.76
05/11/2016,3.8903775397473463,0.0,2.76
05/12/2016,3.862084586343083,0.0,2.76
05/13/2016,3.7913500614582873,0.0,2.76
05/16/2016,3.7559829164721275,0.0,2.76
05/17/2016,3.572074184499091,0.0,2.76
05/18/2016,3.5579277274572734,0.0,2.76
05/19/2016,3.63573460471617,0.0,2.76
05/20/2016,3.557927370071411,0.0,2.76
05/23/2016,3.55085347414361,0.0,2.76
05/24/2016,3.614514552161931,0.0,2.76
05/25/2016,3.543780236210676,0.0,2.76
05/26/2016,3.5367069057941958,0.0,2.76
05/27/2016,3.5437809116085774,0.0,2.76
05/31/2016,3.656954938515822,0.0,2.76
06/01/2016,3.656955157453289,0.0,2.76
06/02/2016,3.6498818072692534,0.0,2.76
06/03/2016,3.6993951714417306,0.0,2.76
06/06/2016,3.727689517641622,0.0,2.76
06/07/2016,3.6215881759948165,0.0,2.76
06/08/2016,3.7135423965581817,0.0,2.76
06/09/2016,3.6711025238037114,0.0,2.76
06/10/2016,3.656955491821353,0.0,2.76
06/13/2016,3.621587539906106,0.0,2.76
06/14/2016,3.550854444503784,0.0,2.76
06/15/2016,3.586220666510729,0.0,2.76
06/16/2016,3.713541976282825,0.0,2.76
06/17/2016,3.748909732576538,0.0,2.76
06/20/2016,3.741835947556041,0.0,2.76
06/21/2016,3.6003682424303407,0.0,2.76
06/22/2016,3.5367074012756348,0.0,2.76
06/23/2016,3.5437805556437314,0.0,2.76
06/24/2016,3.5154870657895825,0.0,2.76
06/27/2016,3.4801199743672337,0.0,2.76
06/28/2016,3.2962110056990555,0.0,2.76
06/29/2016,3.3315781423425173,0.0,2.76
06/30/2016,3.5013404162957698,0.0,2.76
07/01/2016,3.557927241111404,0.0,2.76
07/05/2016,3.6993951714417306,0.0,2.76
07/06/2016,3.7135426351034204,0.0,2.76
07/07/2016,3.81257035574061,0.0,2.76
07/08/2016,3.7347630795452975,0.0,2.76
07/11/2016,3.862084367490492,0.0,2.76
07/12/2016,3.819643470118361,0.0,2.76
07/13/2016,3.897451542731414,0.0,2.76
07/14/2016,3.9328186979728446,0.0,2.76
07/15/2016,3.8762309896226324,0.0,2.76
07/18/2016,3.9611120756971188,0.0,2.76
07/19/2016,4.0601395831740925,0.0,2.76
07/20/2016,3.918671346585193,0.0,2.76
07/21/2016,4.1025804387812395,0.0,2.76
07/22/2016,4.088434128124348,0.0,2.76
07/25/2016,4.031846851323125,0.0,2.76
07/26/2016,4.031845680431387,0.0,2.76
07/27/2016,3.946965531661621,0.0,2.76
07/28/2016,3.911597890427307,0.0,2.76
07/29/2016,3.7984230428583934,0.0,2.76
08/01/2016,3.8550107800142857,0.0,2.76
08/02/2016,4.024772786853845,0.0,2.76
08/03/2016,4.0601394632705095,0.0,2.76
08/04/2016,4.095507111350949,0.0,2.76
08/05/2016,4.187461340330851,0.0,2.76
