AMZN,"Amazon.com, Inc.",
Date,Price,Dividend,Annualized Dividend
12/17/1998,44.0,0.0,0.0
12/18/1998,47.16666793823242,0.0,0.0
12/21/1998,50.58333206176758,0.0,0.0
12/22/1998,54.48958206176758,0.0,0.0
12/23/1998,54.66666793823242,0.0,0.0
12/24/1998,53.70833206176758,0.0,0.0
12/28/1998,55.16666793823242,0.0,0.0
12/29/1998,58.33333206176758,0.0,0.0
12/30/1998,55.5,0.0,0.0
12/31/1998,52.875,0.0,0.0
01/04/1999,54.61458206176758,0.0,0.0
01/05/1999,54.78125,0.0,0.0
01/06/1999,68.1875,0.0,0.0
01/07/1999,68.5625,0.0,0.0
01/08/1999,92.125,0.0,0.0
01/11/1999,92.0,0.0,0.0
01/12/1999,90.25,0.0,0.0
01/13/1999,62.5,0.0,0.0
01/14/1999,75.0,0.0,0.0
01/15/1999,70.0,0.0,0.0
01/19/1999,75.25,0.0,0.0
01/20/1999,67.53125,0.0,0.0
01/21/1999,52.25,0.0,0.0
01/22/1999,49.75,0.0,0.0
01/25/1999,60.75,0.0,0.0
01/26/1999,56.3125,0.0,0.0
01/27/1999,67.0625,0.0,0.0
01/28/1999,63.21875,0.0,0.0
01/29/1999,60.8125,0.0,0.0
02/01/1999,58.875,0.0,0.0
02/02/1999,58.1875,0.0,0.0
02/03/1999,54.5,0.0,0.0
02/04/1999,62.625,0.0,0.0
02/05/1999,58.5,0.0,0.0
02/08/1999,57.1875,0.0,0.0
02/09/1999,53.96875,0.0,0.0
02/10/1999,49.125,0.0,0.0
02/11/1999,50.25,0.0,0.0
02/12/1999,54.0,0.0,0.0
02/16/1999,53.4375,0.0,0.0
02/17/1999,49.21875,0.0,0.0
02/18/1999,48.25,0.0,0.0
02/19/1999,47.1875,0.0,0.0
02/22/1999,50.875,0.0,0.0
02/23/1999,55.0625,0.0,0.0
02/24/1999,58.8125,0.0,0.0
02/25/1999,58.3125,0.0,0.0
02/26/1999,63.375,0.0,0.0
03/01/1999,63.5,0.0,0.0
03/02/1999,67.21875,0.0,0.0
03/03/1999,61.875,0.0,0.0
03/04/1999,62.75,0.0,0.0
03/05/1999,61.96875,0.0,0.0
03/08/1999,60.71875,0.0,0.0
03/09/1999,62.5625,0.0,0.0
03/10/1999,68.375,0.0,0.0
03/11/1999,69.875,0.0,0.0
03/12/1999,67.0,0.0,0.0
03/15/1999,66.5,0.0,0.0
03/16/1999,69.5,0.0,0.0
03/17/1999,65.65625,0.0,0.0
03/18/1999,66.4375,0.0,0.0
03/19/1999,70.9375,0.0,0.0
03/22/1999,66.59375,0.0,0.0
03/23/1999,64.3125,0.0,0.0
03/24/1999,58.59375,0.0,0.0
03/25/1999,64.46875,0.0,0.0
03/26/1999,70.0,0.0,0.0
03/29/1999,75.0,0.0,0.0
03/30/1999,76.0,0.0,0.0
03/31/1999,85.625,0.0,0.0
04/01/1999,89.6875,0.0,0.0
04/05/1999,86.3125,0.0,0.0
04/06/1999,92.25,0.0,0.0
04/07/1999,93.3125,0.0,0.0
04/08/1999,87.40625,0.0,0.0
04/09/1999,89.0625,0.0,0.0
04/12/1999,88.0625,0.0,0.0
04/13/1999,93.375,0.0,0.0
04/14/1999,91.0,0.0,0.0
04/15/1999,82.9375,0.0,0.0
04/16/1999,91.9375,0.0,0.0
04/19/1999,94.5,0.0,0.0
04/20/1999,78.65625,0.0,0.0
04/21/1999,86.1875,0.0,0.0
04/22/1999,92.15625,0.0,0.0
04/23/1999,96.4375,0.0,0.0
04/26/1999,104.5,0.0,0.0
04/27/1999,108.5,0.0,0.0
04/28/1999,100.0,0.0,0.0
04/29/1999,86.21875,0.0,0.0
04/30/1999,88.5,0.0,0.0
05/03/1999,83.4375,0.0,0.0
05/04/1999,76.3125,0.0,0.0
05/05/1999,71.9375,0.0,0.0
05/06/1999,74.0,0.0,0.0
05/07/1999,70.375,0.0,0.0
05/10/1999,68.3125,0.0,0.0
05/11/1999,75.34375,0.0,0.0
05/12/1999,74.03125,0.0,0.0
05/13/1999,72.1875,0.0,0.0
05/14/1999,66.5625,0.0,0.0
05/17/1999,65.0,0.0,0.0
05/18/1999,68.21875,0.0,0.0
05/19/1999,66.96875,0.0,0.0
05/20/1999,68.375,0.0,0.0
05/21/1999,65.375,0.0,0.0
05/24/1999,64.3125,0.0,0.0
05/25/1999,58.625,0.0,0.0
05/26/1999,56.59375,0.0,0.0
05/27/1999,59.8125,0.0,0.0
05/28/1999,57.8125,0.0,0.0
06/01/1999,55.75,0.0,0.0
06/02/1999,52.375,0.0,0.0
06/03/1999,56.96875,0.0,0.0
06/04/1999,52.8125,0.0,0.0
06/07/1999,54.28125,0.0,0.0
06/08/1999,60.0,0.0,0.0
06/09/1999,56.96875,0.0,0.0
06/10/1999,55.9375,0.0,0.0
06/11/1999,57.5625,0.0,0.0
06/14/1999,51.96875,0.0,0.0
06/15/1999,46.125,0.0,0.0
06/16/1999,50.65625,0.0,0.0
06/17/1999,55.8125,0.0,0.0
06/18/1999,55.96875,0.0,0.0
06/21/1999,56.78125,0.0,0.0
06/22/1999,61.59375,0.0,0.0
06/23/1999,57.78125,0.0,0.0
06/24/1999,59.0625,0.0,0.0
06/25/1999,58.21875,0.0,0.0
06/28/1999,55.5,0.0,0.0
06/29/1999,55.125,0.0,0.0
06/30/1999,58.25,0.0,0.0
07/01/1999,62.625,0.0,0.0
07/02/1999,61.625,0.0,0.0
07/06/1999,64.0,0.0,0.0
07/07/1999,63.0625,0.0,0.0
07/08/1999,62.8125,0.0,0.0
07/09/1999,63.0625,0.0,0.0
07/12/1999,62.5,0.0,0.0
07/13/1999,58.125,0.0,0.0
07/14/1999,63.6875,0.0,0.0
07/15/1999,67.5,0.0,0.0
07/16/1999,69.375,0.0,0.0
07/19/1999,68.0,0.0,0.0
07/20/1999,64.5625,0.0,0.0
07/21/1999,60.5,0.0,0.0
07/22/1999,58.21875,0.0,0.0
07/23/1999,54.90625,0.0,0.0
07/26/1999,55.21875,0.0,0.0
07/27/1999,54.5,0.0,0.0
07/28/1999,50.9921875,0.0,0.0
07/29/1999,51.1875,0.0,0.0
07/30/1999,51.0625,0.0,0.0
08/02/1999,49.1875,0.0,0.0
08/03/1999,48.5,0.0,0.0
08/04/1999,46.875,0.0,0.0
08/05/1999,43.78125,0.0,0.0
08/06/1999,48.3125,0.0,0.0
08/09/1999,45.75,0.0,0.0
08/10/1999,42.6875,0.0,0.0
08/11/1999,46.1875,0.0,0.0
08/12/1999,45.5,0.0,0.0
08/13/1999,47.5,0.0,0.0
08/16/1999,49.125,0.0,0.0
08/17/1999,50.25,0.0,0.0
08/18/1999,57.5625,0.0,0.0
08/19/1999,55.375,0.0,0.0
08/20/1999,53.125,0.0,0.0
08/23/1999,57.96875,0.0,0.0
08/24/1999,58.0,0.0,0.0
08/25/1999,61.40625,0.0,0.0
08/26/1999,66.5,0.0,0.0
08/27/1999,65.25,0.0,0.0
08/30/1999,63.78125,0.0,0.0
08/31/1999,59.1875,0.0,0.0
09/01/1999,63.5,0.0,0.0
09/02/1999,57.5,0.0,0.0
09/03/1999,63.625,0.0,0.0
09/07/1999,63.8125,0.0,0.0
09/08/1999,62.0,0.0,0.0
09/09/1999,63.5,0.0,0.0
09/10/1999,65.9375,0.0,0.0
09/13/1999,65.625,0.0,0.0
09/14/1999,62.75,0.0,0.0
09/15/1999,67.75,0.0,0.0
09/16/1999,64.9375,0.0,0.0
09/17/1999,65.625,0.0,0.0
09/20/1999,63.6875,0.0,0.0
09/21/1999,61.625,0.0,0.0
09/22/1999,62.875,0.0,0.0
09/23/1999,67.0,0.0,0.0
09/24/1999,62.0,0.0,0.0
09/27/1999,66.1875,0.0,0.0
09/28/1999,62.5,0.0,0.0
09/29/1999,66.5,0.0,0.0
09/30/1999,79.8125,0.0,0.0
10/01/1999,77.0,0.0,0.0
10/04/1999,79.4375,0.0,0.0
10/05/1999,77.125,0.0,0.0
10/06/1999,79.5625,0.0,0.0
10/07/1999,85.625,0.0,0.0
10/08/1999,86.875,0.0,0.0
10/11/1999,89.125,0.0,0.0
10/12/1999,87.6875,0.0,0.0
10/13/1999,82.5,0.0,0.0
10/14/1999,80.5,0.0,0.0
10/15/1999,75.875,0.0,0.0
10/18/1999,75.0625,0.0,0.0
10/19/1999,77.625,0.0,0.0
10/20/1999,78.3125,0.0,0.0
10/21/1999,77.9375,0.0,0.0
10/22/1999,81.4375,0.0,0.0
10/25/1999,79.0,0.0,0.0
10/26/1999,83.125,0.0,0.0
10/27/1999,79.375,0.0,0.0
10/28/1999,69.5,0.0,0.0
10/29/1999,72.75,0.0,0.0
11/01/1999,68.0625,0.0,0.0
11/02/1999,69.75,0.0,0.0
11/03/1999,68.1875,0.0,0.0
11/04/1999,67.1875,0.0,0.0
11/05/1999,64.75,0.0,0.0
11/08/1999,64.8125,0.0,0.0
11/09/1999,82.0,0.0,0.0
11/10/1999,71.5625,0.0,0.0
11/11/1999,74.75,0.0,0.0
11/12/1999,73.75,0.0,0.0
11/15/1999,75.625,0.0,0.0
11/16/1999,74.25,0.0,0.0
11/17/1999,77.9375,0.0,0.0
11/18/1999,76.75,0.0,0.0
