FSLR,"First Solar, Inc.",
Date,Price,Annualized Dividend
04/08/2015,61.58000183105469,0.0
04/08/2015,60.650001525878906,0.0
04/09/2015,60.5,0.0
04/09/2015,61.18000030517578,0.0
04/10/2015,61.36000061035156,0.0
04/10/2015,61.29999923706055,0.0
04/13/2015,61.400001525878906,0.0
04/13/2015,61.40999984741211,0.0
04/14/2015,61.540000915527344,0.0
04/14/2015,61.06999969482422,0.0
04/15/2015,61.459999084472656,0.0
04/15/2015,63.7400016784668,0.0
04/16/2015,63.709999084472656,0.0
04/16/2015,62.88999938964844,0.0
04/17/2015,62.34000015258789,0.0
04/17/2015,61.939998626708984,0.0
04/20/2015,62.2599983215332,0.0
04/20/2015,62.25,0.0
04/21/2015,62.45000076293945,0.0
04/21/2015,63.11000061035156,0.0
04/22/2015,63.439998626708984,0.0
04/22/2015,63.88999938964844,0.0
04/23/2015,64.0,0.0
04/23/2015,64.75,0.0
04/24/2015,65.41999816894531,0.0
04/24/2015,63.43000030517578,0.0
04/27/2015,63.86000061035156,0.0
04/27/2015,62.91999816894531,0.0
04/28/2015,62.869998931884766,0.0
04/28/2015,63.56999969482422,0.0
04/29/2015,63.130001068115234,0.0
04/29/2015,61.939998626708984,0.0
04/30/2015,61.72999954223633,0.0
04/30/2015,59.66999816894531,0.0
05/01/2015,57.5,0.0
05/01/2015,57.34000015258789,0.0
05/04/2015,57.130001068115234,0.0
05/04/2015,56.779998779296875,0.0
05/05/2015,56.83000183105469,0.0
05/05/2015,56.810001373291016,0.0
05/06/2015,57.029998779296875,0.0
05/06/2015,55.65999984741211,0.0
05/07/2015,55.290000915527344,0.0
05/07/2015,56.31999969482422,0.0
05/08/2015,56.90999984741211,0.0
05/08/2015,56.369998931884766,0.0
05/11/2015,56.40999984741211,0.0
05/11/2015,56.380001068115234,0.0
05/12/2015,56.189998626708984,0.0
05/12/2015,56.04999923706055,0.0
05/13/2015,56.13999938964844,0.0
05/13/2015,56.77000045776367,0.0
05/14/2015,57.04999923706055,0.0
05/14/2015,56.560001373291016,0.0
