VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
01/16/2020,298.5457763671875,5.571000000000001
01/17/2020,299.27241269931926,5.571000000000001
01/17/2020,299.55718994140625,5.571000000000001
01/21/2020,298.59484507309395,5.571000000000001
01/21/2020,298.93853759765625,5.571000000000001
01/22/2020,299.80267761234217,5.571000000000001
01/22/2020,299.0171203613281,5.571000000000001
01/23/2020,298.35920261251084,5.571000000000001
01/23/2020,299.31170654296875,5.571000000000001
01/24/2020,299.9107122101346,5.571000000000001
01/24/2020,296.58184814453125,5.571000000000001
01/27/2020,291.4854593366903,5.571000000000001
01/27/2020,291.8684387207031,5.571000000000001
01/28/2020,293.31193224682966,5.571000000000001
01/28/2020,295.0303649902344,5.571000000000001
01/29/2020,296.3363810686866,5.571000000000001
01/29/2020,294.73577880859375,5.571000000000001
01/30/2020,292.6638123858109,5.571000000000001
01/30/2020,295.6587829589844,5.571000000000001
01/31/2020,295.0205493503054,5.571000000000001
01/31/2020,290.3562316894531,5.571000000000001
02/03/2020,291.76039375352946,5.571000000000001
02/03/2020,292.4674072265625,5.571000000000001
02/04/2020,296.0613923717254,5.571000000000001
02/04/2020,296.974609375,5.571000000000001
02/05/2020,299.8910520919543,5.571000000000001
02/05/2020,300.33294677734375,5.571000000000001
02/06/2020,301.2657841033671,5.571000000000001
02/06/2020,301.35418701171875,5.571000000000001
02/07/2020,300.3132769000014,5.571000000000001
02/07/2020,299.8222961425781,5.571000000000001
02/10/2020,298.8992943203729,5.571000000000001
02/10/2020,301.9728088378906,5.571000000000001
02/11/2020,303.3573477981348,5.571000000000001
02/11/2020,302.5226745605469,5.571000000000001
02/12/2020,303.97599923097215,5.571000000000001
02/12/2020,304.46697998046875,5.571000000000001
02/13/2020,303.0333453036354,5.571000000000001
02/13/2020,304.17242431640625,5.571000000000001
02/14/2020,304.51606727500723,5.571000000000001
02/14/2020,304.6830139160156,5.571000000000001
02/18/2020,303.66178306063074,5.571000000000001
02/18/2020,303.8483581542969,5.571000000000001
02/19/2020,304.8205121535923,5.571000000000001
02/19/2020,305.3114929199219,5.571000000000001
02/20/2020,304.7517638679279,5.571000000000001
02/20/2020,304.1134948730469,5.571000000000001
02/21/2020,302.7387433272796,5.571000000000001
02/21/2020,300.9613952636719,5.571000000000001
02/24/2020,291.60325365245194,5.571000000000001
02/24/2020,290.896240234375,5.571000000000001
02/25/2020,292.3593931613868,5.571000000000001
02/25/2020,282.15679931640625,5.571000000000001
02/26/2020,283.4038895977093,5.571000000000001
02/26/2020,280.90972900390625,5.571000000000001
02/27/2020,275.5089731866426,5.571000000000001
02/27/2020,268.45849609375,5.571000000000001
02/28/2020,260.53404984708357,5.571000000000001
02/28/2020,266.8382263183594,5.571000000000001
03/02/2020,269.0574644705162,5.571000000000001
03/02/2020,278.7494201660156,5.571000000000001
03/03/2020,279.210906216682,5.571000000000001
03/03/2020,271.0606384277344,5.571000000000001
03/04/2020,276.157081813068,5.571000000000001
03/04/2020,282.2943420410156,5.571000000000001
03/05/2020,275.24380042468636,5.571000000000001
03/05/2020,272.8380126953125,5.571000000000001
03/06/2020,264.4618984619896,5.571000000000001
03/06/2020,268.2620849609375,5.571000000000001
03/09/2020,249.31022255023424,5.571000000000001
03/09/2020,247.5623321533203,5.571000000000001
03/10/2020,256.98212555046535,6.7490000000000006
03/10/2020,260.26739501953125,6.7490000000000006
03/11/2020,253.21341320227776,6.7490000000000006
03/11/2020,247.363037109375,6.7490000000000006
03/12/2020,231.78507516376604,6.7490000000000006
03/12/2020,223.4386749267578,6.7490000000000006
03/13/2020,237.42826558546528,6.7490000000000006
03/13/2020,244.3145294189453,6.7490000000000006
03/16/2020,219.85744260232315,6.7490000000000006
03/16/2020,215.63491821289062,6.7490000000000006
03/17/2020,220.74534511281072,6.7490000000000006
03/17/2020,229.75274658203125,6.7490000000000006
03/18/2020,213.17834218525007,6.7490000000000006
03/18/2020,217.1936798095703,6.7490000000000006
03/19/2020,215.49677908640444,6.7490000000000006
03/19/2020,217.38113403320312,6.7490000000000006
03/20/2020,219.8081135123845,6.7490000000000006
03/20/2020,207.91006469726562,6.7490000000000006
03/23/2020,206.81497040448025,6.7490000000000006
03/23/2020,201.52694702148438,6.7490000000000006
03/24/2020,213.48418011714563,6.7490000000000006
03/24/2020,220.74534606933594,6.7490000000000006
03/25/2020,221.97855669439488,6.7490000000000006
03/25/2020,223.57679748535156,6.7490000000000006
03/26/2020,226.19122666928706,5.294
03/26/2020,237.013916015625,5.294
03/27/2020,229.57514668242564,5.294
03/27/2020,229.73300170898438,5.294
03/30/2020,231.7653490463446,5.294
03/30/2020,237.16189575195312,5.294
03/31/2020,236.23451935408912,5.294
03/31/2020,233.6398468017578,5.294
04/01/2020,224.85934897539244,5.294
04/01/2020,223.1131134033203,5.294
04/02/2020,222.304110583487,5.294
04/02/2020,228.33206176757812,5.294
04/03/2020,227.33563337123982,5.294
04/03/2020,224.9580078125,5.294
