NEP,"NextEra Energy Partners, LP",
Date,Price,Annualized Dividend
05/14/2015,35.12406793883543,0.588
05/14/2015,35.01231002807617,0.588
05/15/2015,34.980364311243946,0.588
05/15/2015,35.08414077758789,0.588
05/18/2015,35.2198562391132,0.588
05/18/2015,35.05221939086914,0.588
05/19/2015,35.20387998676567,0.588
05/19/2015,34.788780212402344,0.588
05/20/2015,34.87660182871749,0.588
05/20/2015,35.34758377075195,0.588
05/21/2015,35.36354151618294,0.588
05/21/2015,36.2895393371582,0.588
05/22/2015,36.401293533610946,0.588
05/22/2015,36.07400131225586,0.588
05/26/2015,36.0500592615308,0.588
05/26/2015,35.93031692504883,0.588
05/27/2015,35.93030765714755,0.588
05/27/2015,37.27140808105469,0.588
05/28/2015,37.191590532127165,0.588
05/28/2015,37.39115905761719,0.588
05/29/2015,37.415111217101746,0.588
05/29/2015,37.71845626831055,0.588
06/01/2015,38.07767762546339,0.588
06/01/2015,38.08565902709961,0.588
06/02/2015,38.117592070158686,0.588
06/02/2015,37.60669708251953,0.588
06/03/2015,37.63861915906149,0.588
06/03/2015,36.85630798339844,0.588
06/04/2015,36.64875832178626,0.588
06/04/2015,35.45134735107422,0.588
06/05/2015,35.251781486640105,0.588
06/05/2015,35.547142028808594,0.588
06/08/2015,35.587063607899125,0.588
06/08/2015,35.06019973754883,0.588
06/09/2015,35.14800666898956,0.588
06/09/2015,34.677024841308594,0.588
06/10/2015,34.83668019252405,0.588
06/10/2015,34.932472229003906,0.588
06/11/2015,35.11607498929545,0.588
06/11/2015,35.81855392456055,0.588
06/12/2015,35.523208131013234,0.588
06/12/2015,34.301849365234375,0.588
06/15/2015,34.32578024479237,0.588
06/15/2015,34.01445388793945,0.588
06/16/2015,34.32578431200774,0.588
06/16/2015,33.54347610473633,0.588
06/17/2015,33.846822493398555,0.588
06/17/2015,33.69514846801758,0.588
06/18/2015,33.926653514518726,0.588
06/18/2015,34.27789306640625,0.588
06/19/2015,34.35771934142599,0.588
06/19/2015,34.317806243896484,0.588
06/22/2015,34.46149418295873,0.588
06/22/2015,34.17411804199219,0.588
06/23/2015,34.229993644687404,0.588
06/23/2015,33.52751159667969,0.588
06/24/2015,33.575406657742285,0.588
06/24/2015,33.51154327392578,0.588
06/25/2015,33.43970864232706,0.588
06/25/2015,33.56743240356445,0.588
06/26/2015,33.519531622080876,0.588
06/26/2015,33.256099700927734,0.588
06/29/2015,33.184257646151195,0.588
06/29/2015,32.63344955444336,0.588
06/30/2015,32.72922999823322,0.588
06/30/2015,31.62761116027832,0.588
07/01/2015,31.883065797556657,0.588
07/01/2015,31.22848129272461,0.588
