EFC,Ellington Financial Inc.,
Date,Price,Dividend,Annualized Dividend
07/25/2012,7.678033592124671,0.0,1.9000000000000001
07/26/2012,7.76803603059217,0.0,1.9000000000000001
07/27/2012,7.76457209909965,0.0,1.9000000000000001
07/30/2012,7.830346766024489,0.0,1.9000000000000001
07/31/2012,7.8961178571472415,0.0,1.9000000000000001
08/01/2012,7.961891207114234,0.0,1.9000000000000001
08/02/2012,7.9272740127150305,0.0,1.9000000000000001
08/03/2012,7.934195198374595,0.0,1.9000000000000001
08/06/2012,8.311518930755138,0.0,1.9000000000000001
08/07/2012,8.12805052446402,0.0,1.9000000000000001
08/08/2012,7.982661752380148,0.0,1.9000000000000001
08/09/2012,7.878810884811184,0.0,1.9000000000000001
08/10/2012,7.961888883197382,0.0,1.9000000000000001
08/13/2012,7.95150552475188,0.0,1.9000000000000001
08/14/2012,8.03458845820733,0.0,1.9000000000000001
08/15/2012,7.754189824231693,0.0,1.9000000000000001
08/16/2012,7.771497500148906,0.0,1.9000000000000001
08/17/2012,7.785344533831772,0.0,1.9000000000000001
08/20/2012,7.788806915283203,0.0,1.9000000000000001
08/21/2012,7.8130364650362685,0.0,1.9000000000000001
08/22/2012,7.81304117630073,0.0,1.9000000000000001
08/23/2012,7.823423927233228,0.0,1.9000000000000001
08/24/2012,7.757651634800842,0.0,1.9000000000000001
08/27/2012,7.816499576182808,0.0,1.9000000000000001
08/28/2012,7.823423042624552,0.0,1.9000000000000001
08/29/2012,7.790033299147074,0.7,2.2
08/30/2012,7.815050355399656,0.0,2.2
08/31/2012,7.843637546532415,0.0,2.2
09/04/2012,7.93296809144902,0.0,2.2
09/05/2012,7.879366412279146,0.0,2.2
09/06/2012,7.8793708600042835,0.0,2.2
09/07/2012,7.861503208414379,0.0,2.2
09/10/2012,7.94011944566504,0.0,2.2
09/11/2012,8.008014754418616,0.0,2.2
09/12/2012,8.033027191963734,0.0,2.2
09/13/2012,8.02230492141234,0.0,2.2
09/14/2012,8.07233455063179,0.0,2.2
09/17/2012,8.20455315372629,0.0,2.2
09/18/2012,8.165243925293755,0.0,2.2
09/19/2012,8.036603698979153,0.0,2.2
09/20/2012,8.040170618240042,0.0,2.2
09/21/2012,8.061613833172283,0.0,2.2
09/24/2012,8.154522090897544,0.0,2.2
09/25/2012,8.165242405259166,0.0,2.2
09/26/2012,8.118790246685528,0.0,2.2
09/27/2012,8.11521428594499,0.0,2.2
09/28/2012,8.140229607804002,0.0,2.2
10/01/2012,8.179536287021616,0.0,2.2
10/02/2012,8.19025682825488,0.0,2.2
10/03/2012,8.13665515105536,0.0,2.2
10/04/2012,8.14022937441812,0.0,2.2
10/05/2012,8.154522895812988,0.0,2.2
10/08/2012,8.133083728819559,0.0,2.2
10/09/2012,8.193831899504012,0.0,2.2
10/10/2012,8.222418521018215,0.0,2.2
10/11/2012,8.050895268531434,0.0,2.2
10/12/2012,8.03660074450607,0.0,2.2
10/15/2012,7.950838472146361,0.0,2.2
10/16/2012,7.886516456987131,0.0,2.2
10/17/2012,7.993718720688638,0.0,2.2
10/18/2012,8.050892386597262,0.0,2.2
10/19/2012,8.147376538080021,0.0,2.2
10/22/2012,8.068761495980258,0.0,2.2
10/23/2012,7.940117590236002,0.0,2.2
10/24/2012,7.900808829292669,0.0,2.2
10/25/2012,7.936544502793737,0.0,2.2
10/26/2012,7.922252424776836,0.0,2.2
10/31/2012,7.950837951715761,0.0,2.2
11/01/2012,7.990145991968887,0.0,2.2
11/02/2012,8.06161424628983,0.0,2.2
11/05/2012,7.979427490975844,0.0,2.2
11/06/2012,8.008012040689822,0.0,2.2
11/07/2012,7.965134284526428,0.0,2.2
11/08/2012,7.922250829881114,0.0,2.2
11/09/2012,7.943693962591002,0.0,2.2
11/12/2012,7.9937212376992655,0.0,2.2
11/13/2012,7.96155909999943,0.0,2.2
11/14/2012,7.918678748515685,0.0,2.2
11/15/2012,7.550614633939642,0.0,2.2
11/16/2012,7.80075716368243,0.0,2.2
11/19/2012,8.040174161396122,0.0,2.2
11/20/2012,7.990148847735259,0.0,2.2
11/21/2012,8.000865563884187,0.0,2.2
11/23/2012,8.100922804677316,0.0,2.2
11/26/2012,8.068760166731103,0.0,2.2
11/27/2012,8.143803885032632,0.0,2.2
11/28/2012,8.09468969651298,0.7,2.5
11/29/2012,8.131567356043734,0.0,2.5
11/30/2012,8.091002024938867,0.0,2.5
12/03/2012,8.223764142322798,0.0,2.5
12/04/2012,8.150005057724542,0.0,2.5
12/05/2012,8.127879562809357,0.0,2.5
12/06/2012,8.083626747131348,0.0,2.5
12/07/2012,8.142627071701927,0.0,2.5
12/10/2012,8.1205044488831,0.0,2.5
12/11/2012,8.091002190805886,0.0,2.5
12/12/2012,8.113131300063532,0.0,2.5
12/13/2012,8.03937358962329,0.0,2.5
12/14/2012,8.039372334790915,0.0,2.5
12/17/2012,7.976680354332634,0.0,2.5
12/18/2012,8.094692789621499,0.0,2.5
12/19/2012,8.220075667178419,0.0,2.5
12/20/2012,8.234826446018094,0.0,2.5
12/21/2012,8.168445862793675,0.0,2.5
12/24/2012,8.220074007053375,0.0,2.5
12/26/2012,8.282766002788808,0.0,2.5
12/27/2012,8.25326342858706,0.0,2.5
12/28/2012,8.268013704245968,0.0,2.5
12/31/2012,8.220074660535056,0.0,2.5
01/02/2013,8.338084099791464,0.0,2.5
01/03/2013,8.50403593718013,0.0,2.5
01/04/2013,8.526163328780482,0.0,2.5
01/07/2013,8.67367236768136,0.0,2.5
01/08/2013,8.677360237886917,0.0,2.5
01/09/2013,8.728992177540773,0.0,2.5
01/10/2013,8.740053236290462,0.0,2.5
01/11/2013,8.721614157112466,0.0,2.5
01/14/2013,8.80643113405618,0.0,2.5
01/15/2013,8.776931132106082,0.0,2.5
01/16/2013,8.765867840886086,0.0,2.5
01/17/2013,8.799056733644438,0.0,2.5
01/18/2013,8.802744218055523,0.0,2.5
01/22/2013,8.872811635478987,0.0,2.5
01/23/2013,8.869124756451066,0.0,2.5
01/24/2013,8.858062832031926,0.0,2.5
01/25/2013,8.821183849521798,0.0,2.5
01/28/2013,8.869125366210938,0.0,2.5
01/29/2013,8.89493819661034,0.0,2.5
01/30/2013,8.88756400694525,0.0,2.5
01/31/2013,8.939191287545997,0.0,2.5
02/01/2013,8.846999058033596,0.0,2.5
02/04/2013,8.946565628051758,0.0,2.5
02/05/2013,8.902314420491555,0.0,2.5
02/06/2013,8.96131854915956,0.0,2.5
02/07/2013,9.038762115053105,0.0,2.5
02/08/2013,9.053513443325576,0.0,2.5
02/11/2013,9.145709930450494,0.0,2.5
02/12/2013,9.186274873401612,0.0,2.5
02/13/2013,9.521861733771175,0.0,2.5
02/14/2013,9.60668790804286,0.0,2.5
02/15/2013,9.680439776980352,0.0,2.5
02/19/2013,9.717316875547365,0.0,2.5
02/20/2013,9.809510288994158,0.0,2.5
02/21/2013,9.79106847660027,0.0,2.5
02/22/2013,9.717314675966742,0.0,2.5
02/25/2013,9.864825204924276,0.0,2.5
02/26/2013,9.905394019420026,0.0,2.5
02/27/2013,9.892863909895095,1.52,3.6199999999999997
02/28/2013,9.814662812078764,0.0,3.6199999999999997
03/01/2013,9.756008853002628,0.0,3.6199999999999997
03/04/2013,9.77164731412566,0.0,3.6199999999999997
03/05/2013,9.771647205500265,0.0,3.6199999999999997
03/06/2013,9.77947224113308,0.0,3.6199999999999997
03/07/2013,9.736457824707031,0.0,3.6199999999999997
03/08/2013,9.7520966071906,0.0,3.6199999999999997
03/11/2013,9.62305965826411,0.0,3.6199999999999997
03/12/2013,9.69735601930339,0.0,3.6199999999999997
03/13/2013,9.673895788945291,0.0,3.6199999999999997
03/14/2013,9.712994899008814,0.0,3.6199999999999997
03/15/2013,9.669983325785994,0.0,3.6199999999999997
03/18/2013,9.69735336303711,0.0,3.6199999999999997
03/19/2013,9.697354396280483,0.0,3.6199999999999997
03/20/2013,9.666074342062071,0.0,3.6199999999999997
03/21/2013,9.599599712530797,0.0,3.6199999999999997
03/22/2013,9.701266244641348,0.0,3.6199999999999997
03/25/2013,9.736459120504886,0.0,3.6199999999999997
03/26/2013,9.650433205768644,0.0,3.6199999999999997
03/27/2013,9.701263675785567,0.0,3.6199999999999997
03/28/2013,9.69735672527873,0.0,3.6199999999999997
04/01/2013,9.658252048349668,0.0,3.6199999999999997
04/02/2013,9.666073550992593,0.0,3.6199999999999997
04/03/2013,9.658252796223964,0.0,3.6199999999999997
04/04/2013,9.603507711932366,0.0,3.6199999999999997
04/05/2013,9.615243707926286,0.0,3.6199999999999997
04/08/2013,9.650433443628565,0.0,3.6199999999999997
04/09/2013,9.853765916081402,0.0,3.6199999999999997
04/10/2013,9.732549385640235,0.0,3.6199999999999997
04/11/2013,9.916327073301856,0.0,3.6199999999999997
04/12/2013,9.971067361504597,0.0,3.6199999999999997
04/15/2013,10.04927982117224,0.0,3.6199999999999997
04/16/2013,9.912415572819796,0.0,3.6199999999999997
04/17/2013,10.014084282836087,0.0,3.6199999999999997
04/18/2013,9.967162631233487,0.0,3.6199999999999997
04/19/2013,9.93978701481691,0.0,3.6199999999999997
04/22/2013,10.045362968035962,0.0,3.6199999999999997
04/23/2013,10.068824940446085,0.0,3.6199999999999997
04/24/2013,10.104015528453532,0.0,3.6199999999999997
04/25/2013,10.139207116323044,0.0,3.6199999999999997
