BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Dividend,Annualized Dividend
02/28/2003,8.076486450876308,0.0,0.5700000000000001
03/03/2003,8.101537121828656,0.0,0.5700000000000001
03/04/2003,8.033225506348701,0.0,0.5700000000000001
03/05/2003,7.992237467167975,0.0,0.5700000000000001
03/06/2003,7.969467667977248,0.0,0.5700000000000001
03/07/2003,7.907989804551603,0.0,0.5700000000000001
03/10/2003,8.010452105916897,0.0,0.5700000000000001
03/11/2003,7.962635792274677,0.0,0.5700000000000001
03/12/2003,7.78958584073854,0.0,0.5700000000000001
03/13/2003,7.7326589263999885,0.0,0.5700000000000001
03/14/2003,7.753154403238019,0.0,0.5700000000000001
03/17/2003,7.773647499240674,0.0,0.5700000000000001
03/18/2003,7.910265293790842,0.0,0.5700000000000001
03/19/2003,8.021836093720307,0.0,0.5700000000000001
03/20/2003,7.9967935667589,0.0,0.5700000000000001
03/21/2003,8.094702800254161,0.0,0.5700000000000001
03/24/2003,8.085595027666338,0.0,0.5700000000000001
03/25/2003,8.067382623307644,0.0,0.5700000000000001
03/26/2003,8.094703121409786,0.0,0.5700000000000001
03/27/2003,8.083314944714003,0.0,0.5700000000000001
03/28/2003,8.135306578697117,0.2,0.77
03/31/2003,8.160635047291976,0.0,0.77
04/01/2003,8.116883731383087,0.0,0.77
04/02/2003,8.13069921626315,0.0,0.77
04/03/2003,8.22741235474175,0.0,0.77
04/04/2003,8.144516370771198,0.0,0.77
04/07/2003,8.13299818533149,0.0,0.77
04/08/2003,8.211295476293623,0.0,0.77
04/09/2003,8.266556498329377,0.0,0.77
04/10/2003,8.331028885882985,0.0,0.77
04/11/2003,8.473796344100482,0.0,0.77
04/14/2003,8.533660784288871,0.0,0.77
04/15/2003,8.563600025370022,0.0,0.77
04/16/2003,8.593535994246013,0.0,0.77
04/17/2003,8.529059777850435,0.0,0.77
04/21/2003,8.46227913856188,0.0,0.77
04/22/2003,8.575111526193927,0.0,0.77
04/23/2003,8.634979803386749,0.0,0.77
04/24/2003,8.634982412713303,0.0,0.77
04/25/2003,8.651099952749984,0.0,0.77
04/28/2003,8.715575822671688,0.0,0.77
04/29/2003,8.752419255260005,0.0,0.77
04/30/2003,8.842221994901292,0.0,0.77
05/01/2003,8.973474124552496,0.0,0.77
05/02/2003,8.980378679247698,0.0,0.77
05/05/2003,9.072491842400833,0.0,0.77
05/06/2003,9.229067838186342,0.0,0.77
05/07/2003,9.334990260820689,0.0,0.77
05/08/2003,9.341900446562533,0.0,0.77
05/09/2003,9.321177076794092,0.0,0.77
05/12/2003,9.420187566879328,0.0,0.77
05/13/2003,9.60900444924318,0.0,0.77
05/14/2003,9.69421086558721,0.0,0.77
05/15/2003,9.811642751152934,0.0,0.77
05/16/2003,9.81163929941851,0.0,0.77
05/19/2003,9.903746604919434,0.0,0.77
05/20/2003,10.011971313908283,0.0,0.77
05/21/2003,10.058029365459095,0.0,0.77
05/22/2003,9.894540185279771,0.0,0.77
05/23/2003,9.751772464903976,0.0,0.77
05/27/2003,9.77249873122192,0.0,0.77
05/28/2003,9.763287072768014,0.0,0.77
05/29/2003,9.71262511424192,0.0,0.77
05/30/2003,9.846177623678777,0.0,0.77
06/02/2003,9.848485408606654,0.0,0.77
06/03/2003,9.963617524993856,0.0,0.77
06/04/2003,10.041911316482226,0.0,0.77
06/05/2003,10.150130616569971,0.0,0.77
06/06/2003,10.276782997204073,0.0,0.77
06/09/2003,10.076450291147754,0.0,0.77
06/10/2003,9.993552033214453,0.0,0.77
06/11/2003,10.157040624829206,0.0,0.77
06/12/2003,10.309017307650276,0.0,0.77
06/13/2003,10.33434860686172,0.0,0.77
06/16/2003,10.414935011106687,0.0,0.77
06/17/2003,10.523169466296217,0.0,0.77
06/18/2003,10.493233025819674,0.0,0.77
06/19/2003,10.361981713242752,0.0,0.77
06/20/2003,10.41264089380328,0.0,0.77
06/23/2003,10.191580643888344,0.0,0.77
06/24/2003,10.127111297017356,0.0,0.77
06/25/2003,10.189281246094358,0.0,0.77
06/26/2003,10.189279692562824,0.0,0.77
06/27/2003,10.221514564829171,0.0,0.77
