TAN,Invesco Solar ETF,
Date,Price,Dividend,Annualized Dividend
06/08/2010,45.52479634275923,0.0,0.0
06/09/2010,46.04550453889244,0.0,0.0
06/10/2010,47.31008098885833,0.0,0.0
06/11/2010,48.57465137966809,0.0,0.0
06/14/2010,51.25258821027768,0.0,0.0
06/15/2010,51.92207312485802,0.0,0.0
06/16/2010,52.88909372677224,0.0,0.0
06/17/2010,54.153674481854104,0.0,0.0
06/18/2010,53.78174591283729,0.0,0.0
06/21/2010,55.12070649604062,0.0,0.0
06/22/2010,53.856125800864675,0.0,0.0
06/23/2010,52.96349174328785,0.0,0.0
06/24/2010,52.07083365496467,0.0,0.0
06/25/2010,50.28555183088654,0.0,0.0
06/28/2010,51.55012821654965,0.0,0.0
06/29/2010,49.31853070050309,0.0,0.0
06/30/2010,48.128332414041644,0.0,0.0
07/01/2010,48.72343043307958,0.0,0.0
07/02/2010,50.285547512918725,0.0,0.0
07/06/2010,52.59154745034448,0.0,0.0
07/07/2010,51.6989031730994,0.0,0.0
07/08/2010,54.52560884731193,0.0,0.0
07/09/2010,55.4926439106348,0.0,0.0
07/12/2010,56.31089013508366,0.0,0.0
07/13/2010,56.38528767055075,0.0,0.0
07/14/2010,57.05476297909428,0.0,0.0
07/15/2010,57.35231836840805,0.0,0.0
07/16/2010,57.50108059321167,0.0,0.0
07/19/2010,56.534062773392826,0.0,0.0
07/20/2010,56.162115419763694,0.0,0.0
07/21/2010,58.39373034922486,0.0,0.0
07/22/2010,58.31934714335512,0.0,0.0
07/23/2010,59.58392229279767,0.0,0.0
07/26/2010,60.25339873683685,0.0,0.0
07/27/2010,60.922876814215826,0.0,0.0
07/28/2010,59.658300598563095,0.0,0.0
07/29/2010,59.50953838873003,0.0,0.0
07/30/2010,56.980379625814614,0.0,0.0
08/02/2010,57.50109397727704,0.0,0.0
08/03/2010,59.50952843774723,0.0,0.0
08/04/2010,58.914430138870166,0.0,0.0
08/05/2010,58.84005331974913,0.0,0.0
08/06/2010,59.21198416205253,0.0,0.0
08/09/2010,62.85694769201497,0.0,0.0
08/10/2010,58.91443692045008,0.0,0.0
08/11/2010,58.02178677363208,0.0,0.0
08/12/2010,57.27793289313674,0.0,0.0
08/13/2010,56.08773280416228,0.0,0.0
08/16/2010,55.41824790499857,0.0,0.0
08/17/2010,56.53406199547756,0.0,0.0
08/18/2010,57.2779165752883,0.0,0.0
08/19/2010,57.12914924753341,0.0,0.0
08/20/2010,55.0463172376513,0.0,0.0
08/23/2010,55.34386928404917,0.0,0.0
08/24/2010,52.9634763516346,0.0,0.0
08/25/2010,51.624520786210205,0.0,0.0
08/26/2010,53.40981037396243,0.0,0.0
08/27/2010,52.5915498553475,0.0,0.0
08/30/2010,54.07928319339063,0.0,0.0
08/31/2010,53.186647481896934,0.0,0.0
