FSLEX,Fidelity Select Environmental a,
Date,Price,Dividend,Annualized Dividend
06/10/1996,13.05274486541748,0.0,0.0
06/11/1996,13.097601890563965,0.0,0.0
06/12/1996,13.1065731048584,0.0,0.0
06/13/1996,13.034806251525879,0.0,0.0
06/14/1996,12.96303653717041,0.0,0.0
06/17/1996,12.998920440673828,0.0,0.0
06/19/1996,12.78361701965332,0.0,0.0
06/20/1996,12.59522819519043,0.0,0.0
06/21/1996,12.622138977050781,0.0,0.0
06/24/1996,12.64905071258545,0.0,0.0
06/26/1996,12.523459434509277,0.0,0.0
06/27/1996,12.559340476989748,0.0,0.0
06/28/1996,12.6939058303833,0.0,0.0
07/01/1996,12.613171577453613,0.0,0.0
07/03/1996,12.541399955749513,0.0,0.0
07/08/1996,12.29918384552002,0.0,0.0
07/09/1996,12.335071563720703,0.0,0.0
07/10/1996,12.245360374450684,0.0,0.0
07/11/1996,11.985199928283691,0.0,0.0
08/28/1996,11.976232528686522,0.0,0.0
09/06/1996,11.895492553710938,0.0,0.0
09/19/1996,12.083883285522461,0.0,0.0
09/26/1996,12.281241416931152,0.0,0.0
09/27/1996,12.263300895690918,0.0,0.0
09/30/1996,12.37095355987549,0.0,0.0
10/01/1996,12.388895034790039,0.0,0.0
10/02/1996,12.44272232055664,0.0,0.0
10/04/1996,12.514490127563477,0.0,0.0
10/07/1996,12.433750152587889,0.0,0.0
10/08/1996,12.415807723999023,0.0,0.0
10/09/1996,12.31712532043457,0.0,0.0
10/11/1996,12.424779891967773,0.0,0.0
10/17/1996,12.308157920837402,0.0,0.0
10/22/1996,12.200506210327148,0.0,0.0
10/24/1996,12.272274017333984,0.0,0.0
10/25/1996,12.2363920211792,0.0,0.0
10/29/1996,12.227418899536133,0.0,0.0
11/11/1996,12.361980438232422,0.0,0.0
11/14/1996,12.40683937072754,0.0,0.0
11/15/1996,12.397864341735842,0.0,0.0
11/25/1996,12.577284812927246,0.0,0.0
11/26/1996,12.586256980895996,0.0,0.0
12/02/1996,12.550373077392578,0.0,0.0
12/06/1996,12.496546745300293,0.0,0.0
12/09/1996,12.640082359313965,0.0,0.0
12/10/1996,12.568316459655762,0.0,0.0
12/17/1996,12.048001289367676,0.0,0.0
01/06/1997,12.48757553100586,0.0,0.0
01/08/1997,12.66699504852295,0.0,0.0
01/10/1997,12.720820426940918,0.0,0.0
01/13/1997,12.747732162475586,0.0,0.0
01/14/1997,12.84641456604004,0.0,0.0
01/17/1997,12.873329162597656,0.0,0.0
01/20/1997,12.91818046569824,0.0,0.0
01/22/1997,13.016862869262697,0.0,0.0
01/23/1997,13.079658508300781,0.0,0.0
01/24/1997,13.115543365478516,0.0,0.0
01/29/1997,13.160398483276367,0.0,0.0
01/30/1997,13.241133689880371,0.0,0.0
01/31/1997,13.330845832824707,0.0,0.0
02/03/1997,13.303933143615723,0.0,0.0
02/04/1997,13.196280479431154,0.0,0.0
02/06/1997,13.070686340332033,0.0,0.0
02/12/1997,13.142452239990234,0.0,0.0
02/13/1997,13.169368743896484,0.0,0.0
02/14/1997,13.178339004516602,0.0,0.0
03/03/1997,12.989949226379396,0.0,0.0
03/04/1997,12.909210205078123,0.0,0.0
03/07/1997,13.205251693725586,0.0,0.0
03/11/1997,13.268048286437988,0.0,0.0
03/20/1997,12.658023834228516,0.0,0.0
04/09/1997,12.460662841796875,0.0,0.0
04/18/1997,12.290215492248535,0.0,0.0
04/24/1997,12.110795974731445,0.0,0.0
05/23/1997,12.819499015808105,0.0,0.0
06/02/1997,13.1334867477417,0.0,0.0
06/03/1997,13.151427268981934,0.0,0.0
06/04/1997,13.214221954345703,0.0,0.0
06/05/1997,13.285990715026857,0.0,0.0
06/06/1997,13.366732597351074,0.0,0.0
06/09/1997,13.348788261413574,0.0,0.0
06/10/1997,13.312904357910156,0.0,0.0
06/11/1997,13.23216724395752,0.0,0.0
06/13/1997,13.420557022094728,0.0,0.0
06/17/1997,13.456438064575195,0.0,0.0
06/18/1997,13.501293182373047,0.0,0.0
06/19/1997,13.689685821533205,0.0,0.0
06/20/1997,13.644829750061037,0.0,0.0
06/23/1997,13.519235610961914,0.0,0.0
06/24/1997,13.61791706085205,0.0,0.0
06/25/1997,13.608943939208984,0.0,0.0
06/26/1997,13.626885414123533,0.0,0.0
06/27/1997,13.671742439270018,0.0,0.0
06/30/1997,13.761451721191406,0.0,0.0
07/01/1997,13.725570678710938,0.0,0.0
07/03/1997,13.85115909576416,0.0,0.0
07/07/1997,13.84218978881836,0.0,0.0
07/08/1997,13.958813667297363,0.0,0.0
07/11/1997,13.922929763793945,0.0,0.0
07/14/1997,14.075434684753418,0.0,0.0
07/15/1997,14.093377113342285,0.0,0.0
07/16/1997,14.183087348937988,0.0,0.0
07/17/1997,14.0574951171875,0.0,0.0
07/18/1997,13.976756095886229,0.0,0.0
07/21/1997,13.806305885314943,0.0,0.0
07/22/1997,13.94984245300293,0.0,0.0
07/23/1997,13.904990196228027,0.0,0.0
07/24/1997,13.940872192382812,0.0,0.0
07/25/1997,13.967784881591797,0.0,0.0
07/29/1997,14.08440685272217,0.0,0.0
07/30/1997,14.210001945495605,0.0,0.0
07/31/1997,14.111318588256836,0.0,0.0
08/04/1997,14.102346420288086,0.0,0.0
08/05/1997,14.138228416442871,0.0,0.0
08/06/1997,14.335590362548828,0.0,0.0
08/07/1997,14.344564437866213,0.0,0.0
08/08/1997,14.227944374084473,0.0,0.0
08/19/1997,14.003668785095215,0.0,0.0
08/20/1997,14.21897315979004,0.0,0.0
08/21/1997,14.156173706054688,0.0,0.0
08/22/1997,14.147203445434572,0.0,0.0
08/26/1997,14.272794723510742,0.0,0.0
08/27/1997,14.299708366394043,0.0,0.0
08/28/1997,14.317651748657227,0.0,0.0
09/02/1997,14.39838695526123,0.0,0.0
09/03/1997,14.52398681640625,0.0,0.0
09/04/1997,14.73031806945801,0.0,0.0
09/05/1997,14.748259544372559,0.0,0.0
09/08/1997,14.820025444030763,0.0,0.0
09/09/1997,14.9815034866333,0.0,0.0
09/10/1997,14.990473747253418,0.0,0.0
09/11/1997,14.954589843749998,0.0,0.0
09/12/1997,15.035326957702638,0.0,0.0
09/15/1997,15.04429817199707,0.0,0.0
09/16/1997,15.151949882507322,0.0,0.0
09/17/1997,15.21474552154541,0.0,0.0
