NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
03/12/1993,3.309972518993215,0.0,2.045
03/15/1993,3.3418004277726294,0.0,2.045
03/16/1993,3.4213689331696413,0.0,2.045
03/17/1993,3.405453011796281,0.0,2.045
03/18/1993,3.50093325523481,0.0,2.045
03/19/1993,3.5009344773633138,0.0,2.045
03/22/1993,3.5804997194180928,0.0,2.045
03/23/1993,3.6282394027709963,0.0,2.045
03/24/1993,3.564586079915365,0.0,2.045
03/25/1993,3.584393727670022,0.53,2.075
03/26/1993,3.5357348530791524,0.0,2.075
03/29/1993,3.470858984215315,0.0,2.075
03/30/1993,3.503297393386428,0.0,2.075
03/31/1993,3.633050006368886,0.0,2.075
04/01/1993,3.681706089443631,0.0,2.075
04/02/1993,3.6654884815216064,0.0,2.075
04/05/1993,3.6817074571035606,0.0,2.075
04/06/1993,3.633049488067627,0.0,2.075
04/07/1993,3.6330491807725696,0.0,2.075
04/08/1993,3.6654884815216064,0.0,2.075
04/12/1993,3.6817074571035606,0.0,2.075
04/13/1993,3.681706833211999,0.0,2.075
04/14/1993,3.665487860378466,0.0,2.075
04/15/1993,3.6979258060455322,0.0,2.075
04/16/1993,3.697926432685515,0.0,2.075
04/19/1993,3.665487860378466,0.0,2.075
04/20/1993,3.6817074571035606,0.0,2.075
04/21/1993,3.6979258060455322,0.0,2.075
04/22/1993,3.697925399578615,0.0,2.075
04/23/1993,3.6654874574770484,0.0,2.075
04/26/1993,3.6654884815216064,0.0,2.075
04/27/1993,3.6654874574770484,0.0,2.075
04/28/1993,3.697926432685515,0.0,2.075
04/29/1993,3.665487860378466,0.0,2.075
04/30/1993,3.681706428527832,0.0,2.075
05/03/1993,3.697925399578615,0.0,2.075
05/04/1993,3.6654884815216064,0.0,2.075
05/05/1993,3.6817074571035606,0.0,2.075
05/06/1993,3.66548711988661,0.0,2.075
05/07/1993,3.6168305443246984,0.0,2.075
05/10/1993,3.697925399578615,0.0,2.075
05/11/1993,3.681706089443631,0.0,2.075
05/12/1993,3.64926815032959,0.0,2.075
05/13/1993,3.6330491807725696,0.0,2.075
05/14/1993,3.6492684589965005,0.0,2.075
05/17/1993,3.633049488067627,0.0,2.075
05/18/1993,3.633049488067627,0.0,2.075
05/19/1993,3.633049488067627,0.0,2.075
05/20/1993,3.633049079655532,0.0,2.075
05/21/1993,3.5843926180492747,0.0,2.075
05/24/1993,3.568171678085672,0.0,2.075
05/25/1993,3.568171685741794,0.0,2.075
05/26/1993,3.56817364692688,0.0,2.075
05/27/1993,3.5519557753834157,0.0,2.075
