PBW,Invesco WilderHill Clean Energy,
Date,Price,Dividend,Annualized Dividend
05/16/2007,77.16060571992253,0.0,0.235
05/17/2007,76.71668271231222,0.0,0.235
05/18/2007,75.99030189431491,0.0,0.235
05/21/2007,77.32204114953981,0.0,0.235
05/22/2007,79.17841117563822,0.0,0.235
05/23/2007,79.6626800866334,0.0,0.235
05/24/2007,78.65377766879242,0.0,0.235
05/25/2007,77.68523661626831,0.0,0.235
05/29/2007,79.21878180684085,0.0,0.235
05/30/2007,78.33093240317329,0.0,0.235
05/31/2007,79.66268157958984,0.0,0.235
06/01/2007,80.38908625080902,0.0,0.235
06/04/2007,80.18730641275086,0.0,0.235
06/05/2007,80.429432936526,0.0,0.235
06/06/2007,79.94516233082813,0.0,0.235
06/07/2007,79.78373838414444,0.0,0.235
06/08/2007,77.64488979966958,0.0,0.235
06/11/2007,78.81519277779071,0.0,0.235
06/12/2007,77.6852451307396,0.0,0.235
06/13/2007,78.0887941442445,0.0,0.235
06/14/2007,80.02588434832434,0.0,0.235
06/15/2007,81.31726837158203,0.0,0.235
06/18/2007,81.39798364703469,0.0,0.235
06/19/2007,81.519072886474,0.0,0.235
06/20/2007,82.52794553977323,0.0,0.235
06/21/2007,81.31729300309165,0.0,0.235
06/22/2007,82.40688889841054,0.0,0.185
06/25/2007,82.6893724446351,0.0,0.185
06/26/2007,82.64904081727816,0.0,0.185
06/27/2007,81.43835480744065,0.0,0.185
06/28/2007,84.2228803399476,0.0,0.185
06/29/2007,84.74752676792532,0.0,0.185
07/02/2007,84.5457392234266,0.0,0.185
07/03/2007,86.15998557564262,0.0,0.185
07/05/2007,86.68463071786698,0.0,0.185
07/06/2007,86.11964701238928,0.0,0.185
07/09/2007,88.66204249430665,0.0,0.185
07/10/2007,89.38845932231423,0.0,0.185
07/11/2007,89.75165557861328,0.0,0.185
07/12/2007,90.43773427498517,0.0,0.185
07/13/2007,91.16412654310248,0.0,0.185
07/16/2007,92.01162012365481,0.0,0.185
07/17/2007,91.40623952148765,0.0,0.185
07/18/2007,89.4288466105461,0.0,0.185
07/19/2007,90.9623518048879,0.0,0.185
07/20/2007,90.35701565171132,0.0,0.185
