VNQ,Vanguard Real Estate ETF,
08/27/2015,59.36932184533236,3.045
08/27/2015,59.962066650390625,3.045
08/28/2015,59.922570260467275,3.045
08/28/2015,59.875152587890625,3.045
08/31/2015,59.73287820504539,3.045
08/31/2015,58.507869720458984,3.045
09/01/2015,57.92303003485353,3.045
09/01/2015,57.39351272583008,3.045
09/02/2015,57.76497436833305,3.045
09/02/2015,57.986270904541016,3.045
09/03/2015,58.18383254468806,3.045
09/03/2015,58.14431381225586,3.045
09/04/2015,57.788674155114784,3.045
09/04/2015,57.06156921386719,3.045
09/08/2015,57.567387887192965,3.045
09/08/2015,57.923038482666016,3.045
09/09/2015,58.38143520851468,3.045
09/09/2015,57.2591667175293,3.045
09/10/2015,57.164322013881375,3.045
09/10/2015,57.38561248779297,3.045
09/11/2015,57.377710548933514,3.045
09/11/2015,58.484169006347656,3.045
09/14/2015,58.57110402265722,3.045
09/14/2015,58.51578140258789,3.045
09/15/2015,58.53947868144749,3.045
09/15/2015,59.09270477294922,3.045
09/16/2015,59.053199241885935,3.045
09/16/2015,59.7249755859375,3.045
09/17/2015,59.788201742924954,3.045
09/17/2015,60.40465545654297,3.045
09/18/2015,59.977892633409475,3.045
09/18/2015,60.30192947387695,3.045
09/21/2015,60.333509432242906,3.045
09/21/2015,60.815608978271484,3.045
09/22/2015,60.388855709210546,3.045
09/22/2015,60.049015045166016,3.045
09/23/2015,60.26611926346609,3.1289999999999996
09/23/2015,60.42576217651367,3.1289999999999996
09/24/2015,60.33796658445811,3.1289999999999996
09/24/2015,59.859031677246094,3.1289999999999996
09/25/2015,60.12244512881152,3.1289999999999996
09/25/2015,60.0984992980957,3.1289999999999996
09/28/2015,59.962796617584964,3.1289999999999996
09/28/2015,59.16456985473633,3.1289999999999996
09/29/2015,59.52377715846294,3.1289999999999996
09/29/2015,59.7951774597168,3.1289999999999996
09/30/2015,60.2262215924764,3.1289999999999996
09/30/2015,60.298065185546875,3.1289999999999996
10/01/2015,60.393849952986926,3.1289999999999996
10/01/2015,60.593406677246094,3.1289999999999996
10/02/2015,60.753050541256385,3.1289999999999996
10/02/2015,61.03242874145508,3.1289999999999996
10/05/2015,61.28786411886986,3.1289999999999996
10/05/2015,62.0621452331543,3.1289999999999996
10/06/2015,62.09406026309106,3.1289999999999996
10/06/2015,61.91844940185547,3.1289999999999996
10/07/2015,62.16590271399763,3.1289999999999996
10/07/2015,62.628875732421875,3.1289999999999996
10/08/2015,62.57302273067144,3.1289999999999996
10/08/2015,63.155731201171875,3.1289999999999996
10/09/2015,63.147734158541276,3.1289999999999996
10/09/2015,63.051944732666016,3.1289999999999996
10/12/2015,63.18763916518551,3.1289999999999996
10/12/2015,63.49894714355469,3.1289999999999996
10/13/2015,63.29938586434678,3.1289999999999996
10/13/2015,63.0040397644043,3.1289999999999996
10/14/2015,63.131751120853075,3.1289999999999996
10/14/2015,62.5330810546875,3.1289999999999996
