SIX,Six Flags Entertainment Corpora,
Date,Price,Annualized Dividend
11/18/2011,10.81,0.24
11/18/2011,11.1,0.24
11/21/2011,10.92,0.24
11/21/2011,10.87,0.24
11/22/2011,10.84,0.24
11/22/2011,10.95,0.24
11/23/2011,10.84,0.24
11/23/2011,10.96,0.24
11/25/2011,10.9,0.24
11/25/2011,10.88,0.24
11/28/2011,11.24,0.24
11/28/2011,11.17,0.24
11/29/2011,11.17,0.24
11/29/2011,11.13,0.24
11/30/2011,11.44,0.24
11/30/2011,11.59,0.24
12/01/2011,11.69,0.3
12/01/2011,12.01,0.3
12/02/2011,12.13,0.3
12/02/2011,11.71,0.3
12/05/2011,11.86,0.3
12/05/2011,11.95,0.3
12/06/2011,11.97,0.3
12/06/2011,12.0,0.3
12/07/2011,11.93,0.3
12/07/2011,11.96,0.3
12/08/2011,11.83,0.3
12/08/2011,11.57,0.3
12/09/2011,11.6,0.3
12/09/2011,11.73,0.3
12/12/2011,11.57,0.3
12/12/2011,11.66,0.3
12/13/2011,11.77,0.3
12/13/2011,11.54,0.3
12/14/2011,11.35,0.3
12/14/2011,11.42,0.3
12/15/2011,11.55,0.3
12/15/2011,11.7,0.3
12/16/2011,11.86,0.3
12/16/2011,11.68,0.3
12/19/2011,11.74,0.3
12/19/2011,11.47,0.3
12/20/2011,11.69,0.3
12/20/2011,12.03,0.3
12/21/2011,11.94,0.3
12/21/2011,12.39,0.3
12/22/2011,12.44,0.24
12/22/2011,12.46,0.24
12/23/2011,12.47,0.24
12/23/2011,12.62,0.24
12/27/2011,12.55,0.24
12/27/2011,12.57,0.24
12/28/2011,12.51,0.24
12/28/2011,12.55,0.24
12/29/2011,12.58,0.24
12/29/2011,12.66,0.24
12/30/2011,12.62,0.24
12/30/2011,12.62,0.24
01/03/2012,13.1,0.24
01/03/2012,12.66,0.24
01/04/2012,12.64,0.24
01/04/2012,12.63,0.24
01/05/2012,12.58,0.24
01/05/2012,12.53,0.24
01/06/2012,12.58,0.24
01/06/2012,12.5,0.24
01/09/2012,12.59,0.24
01/09/2012,12.53,0.24
01/10/2012,12.57,0.24
01/10/2012,12.7,0.24
01/11/2012,12.67,0.24
01/11/2012,12.73,0.24
01/12/2012,12.75,0.24
01/12/2012,12.81,0.24
01/13/2012,12.71,0.24
01/13/2012,12.78,0.24
01/17/2012,12.95,0.24
01/17/2012,12.78,0.24
01/18/2012,12.8,0.24
01/18/2012,12.82,0.24
01/19/2012,12.84,0.24
01/19/2012,13.0,0.24
01/20/2012,12.99,0.24
01/20/2012,13.05,0.24
01/23/2012,13.03,0.24
01/23/2012,13.0,0.24
01/24/2012,12.96,0.24
01/24/2012,13.13,0.24
01/25/2012,13.09,0.24
01/25/2012,13.33,0.24
01/26/2012,13.38,0.24
01/26/2012,13.42,0.24
01/27/2012,13.35,0.24
01/27/2012,13.43,0.24
01/30/2012,13.3,0.24
01/30/2012,13.32,0.24
01/31/2012,13.42,0.24
01/31/2012,13.41,0.24
02/01/2012,13.55,0.24
02/01/2012,13.45,0.24
02/02/2012,13.46,0.24
02/02/2012,13.3,0.24
02/03/2012,13.51,0.24
02/03/2012,13.46,0.24
02/06/2012,13.42,0.24
02/06/2012,13.5,0.24
02/07/2012,13.46,0.24
02/07/2012,13.4,0.24
02/08/2012,13.44,0.24
02/08/2012,13.43,0.24
02/09/2012,14.09,0.24
02/09/2012,14.45,0.24
02/10/2012,14.26,0.24
02/10/2012,14.41,0.24
02/13/2012,14.55,0.24
02/13/2012,14.51,0.24
02/14/2012,14.46,0.24
02/14/2012,14.51,0.24
02/15/2012,14.5,0.24
02/15/2012,14.21,0.24
02/16/2012,14.29,0.24
02/16/2012,14.14,0.24
02/17/2012,14.22,0.24
02/17/2012,14.4,0.24
02/21/2012,14.45,0.24
02/21/2012,14.3,0.24
02/22/2012,14.2,0.24
02/22/2012,14.16,0.24
02/23/2012,14.16,0.24
02/23/2012,14.15,0.24
02/24/2012,14.15,0.24
02/24/2012,14.15,0.24
02/27/2012,13.99,0.24
02/27/2012,14.11,0.24
02/28/2012,14.25,0.78
02/28/2012,14.39,0.78
02/29/2012,14.48,0.78
02/29/2012,14.22,0.78
03/01/2012,14.3,0.78
03/01/2012,14.22,0.78
03/02/2012,14.25,0.78
03/02/2012,14.19,0.78
03/05/2012,14.1,0.78
03/05/2012,14.43,0.78
03/06/2012,14.28,0.78
03/06/2012,14.07,0.78
03/07/2012,14.15,0.78
