FSKR,FS KKR Capital Corp. II,
Date,Price,Annualized Dividend
05/14/2021,19.637185970906057,1.6500000000000001
05/14/2021,20.007699966430664,1.6500000000000001
05/17/2021,20.066201531330034,1.6500000000000001
05/17/2021,19.82244300842285,1.6500000000000001
05/18/2021,19.851694779316198,1.6500000000000001
05/18/2021,19.91019630432129,1.6500000000000001
05/19/2021,19.79318997486947,1.6500000000000001
05/19/2021,19.97844696044922,1.6500000000000001
05/20/2021,19.95894714610904,1.6500000000000001
05/20/2021,20.007699966430664,1.6500000000000001
05/21/2021,19.997949083602027,1.6500000000000001
05/21/2021,20.387962341308594,1.6500000000000001
05/24/2021,20.436712905160554,1.6500000000000001
05/24/2021,20.40746307373047,1.6500000000000001
05/25/2021,20.3489620629907,1.6500000000000001
05/25/2021,20.29045867919922,1.6500000000000001
05/26/2021,20.2319573524166,1.6500000000000001
05/26/2021,20.28070831298828,1.6500000000000001
05/27/2021,20.4854648590668,1.6500000000000001
05/27/2021,20.6317195892334,1.6500000000000001
05/28/2021,20.670723159144345,1.6500000000000001
05/28/2021,20.660972595214844,1.6500000000000001
06/01/2021,20.855977863284245,1.6500000000000001
06/01/2021,21.13873863220215,1.6500000000000001
06/02/2021,21.158240630599153,1.6500000000000001
06/02/2021,21.187490463256836,1.6500000000000001
06/03/2021,21.14848908096781,1.6500000000000001
06/03/2021,21.236242294311523,1.6500000000000001
06/04/2021,21.206990962556702,1.6500000000000001
06/04/2021,21.40199851989746,1.6500000000000001
06/07/2021,21.29474449157715,1.6500000000000001
06/07/2021,21.29474449157715,1.6500000000000001
06/08/2021,21.26549303569828,1.6500000000000001
06/08/2021,21.55800437927246,1.6500000000000001
06/09/2021,21.4897520135515,1.6500000000000001
06/09/2021,21.48000144958496,1.6500000000000001
06/10/2021,21.40999984741211,2.2
06/10/2021,21.309999465942383,2.2
06/11/2021,21.389999389648438,2.2
06/11/2021,21.399999618530273,2.2
06/14/2021,21.420000076293945,2.2
06/14/2021,21.65999984741211,2.2
06/15/2021,21.649999618530273,2.2
06/15/2021,21.670000076293945,2.2
06/16/2021,21.56999969482422,2.2
06/16/2021,21.559999465942383,2.2
06/17/2021,21.559999465942383,2.2
06/17/2021,21.559999465942383,2.2
