NLY,Annaly Capital Management Inc,
Date,Price,Dividend,Annualized Dividend
11/11/1999,0.7587228520163175,0.0,1.335
11/12/1999,0.7483999212305028,0.0,1.335
11/15/1999,0.7380771636962891,0.0,1.335
11/16/1999,0.7380774377937048,0.0,1.335
11/17/1999,0.7380774739786242,0.0,1.335
11/18/1999,0.7277545786422231,0.0,1.335
11/19/1999,0.7174318675483976,0.0,1.335
11/22/1999,0.7174318186614824,0.0,1.335
11/23/1999,0.7122704386711121,0.0,1.335
11/24/1999,0.7122704631133046,0.0,1.335
11/26/1999,0.707109106864248,0.0,1.335
11/29/1999,0.7225932478904724,0.0,1.335
11/30/1999,0.7174318432807922,0.0,1.335
12/01/1999,0.7277544061620752,0.0,1.335
12/02/1999,0.7380773077408472,0.0,1.335
12/03/1999,0.7432386875152588,0.0,1.335
12/06/1999,0.7432388549155378,0.0,1.335
12/07/1999,0.7277544061620752,0.0,1.335
12/08/1999,0.7329160571098328,0.0,1.335
12/09/1999,0.7329156016235922,0.0,1.335
12/10/1999,0.6916251051075318,0.0,1.335
12/13/1999,0.7019474309189876,0.0,1.335
12/14/1999,0.7019474767420414,0.0,1.335
